"11419: Månedslønn, etter statistikkmål, yrke, næring (SN2007), kjønn, avtalt/vanlig arbeidstid per uke, statistikkvariabel og år"

"statistikkmål";"yrke";"næring (SN2007)";"kjønn";"avtalt/vanlig arbeidstid per uke";"Månedslønn (kr) 2015";"Månedslønn (kr) 2016";"Månedslønn (kr) 2017";"Månedslønn (kr) 2018";"Månedslønn (kr) 2019";"Månedslønn (kr) 2020";"Månedslønn (kr) 2021";"Månedslønn (kr) 2022"
"Gjennomsnitt";"Alle yrker";"16 Trelast- og trevareindustri";"Menn";"Heltidsansatte";36920;38280;38600;39810;41350;42220;44290;46600
"Gjennomsnitt";"Alle yrker";"16 Trelast- og trevareindustri";"Kvinner";"Heltidsansatte";36520;37490;38090;39330;40850;41710;43430;45640
"Gjennomsnitt";"Alle yrker";"17 Papir- og papirvareindustri";"Menn";"Heltidsansatte";39470;40750;43750;44470;45200;46040;48270;52170
"Gjennomsnitt";"Alle yrker";"17 Papir- og papirvareindustri";"Kvinner";"Heltidsansatte";37070;37980;42840;43190;44370;46470;49280;52580
"Gjennomsnitt";"Alle yrker";"18 Trykking, grafisk industri";"Menn";"Heltidsansatte";41280;42600;43080;44100;45550;45790;47460;49720
"Gjennomsnitt";"Alle yrker";"18 Trykking, grafisk industri";"Kvinner";"Heltidsansatte";36580;37360;37540;38490;39390;39730;41980;43830
"Gjennomsnitt";"Alle yrker";"19-21 Oljeraffinering, kjemisk og farmasøytisk industri";"Menn";"Heltidsansatte";53050;54860;55770;57210;59730;59840;61960;66120
"Gjennomsnitt";"Alle yrker";"19-21 Oljeraffinering, kjemisk og farmasøytisk industri";"Kvinner";"Heltidsansatte";50560;53290;54440;56160;58160;58340;61420;65080
"Gjennomsnitt";"Alle yrker";"22-23 Gummi-, plast- og mineralsk industri";"Menn";"Heltidsansatte";41920;42760;43460;44800;46350;47160;48860;51290
"Gjennomsnitt";"Alle yrker";"22-23 Gummi-, plast- og mineralsk industri";"Kvinner";"Heltidsansatte";41130;42390;43620;44930;46240;47730;48850;50660
"Gjennomsnitt";"Alle yrker";"24 Metallindustri";"Menn";"Heltidsansatte";47890;48250;49190;51580;52960;53470;55530;58740
"Gjennomsnitt";"Alle yrker";"24 Metallindustri";"Kvinner";"Heltidsansatte";50090;50280;52210;55110;56200;56780;58500;61220
"Gjennomsnitt";"Alle yrker";"25 Metallvareindustri";"Menn";"Heltidsansatte";42080;42420;43210;43980;45540;46930;48640;51280
"Gjennomsnitt";"Alle yrker";"25 Metallvareindustri";"Kvinner";"Heltidsansatte";42490;42900;44050;45280;47350;48610;50400;53740
"Gjennomsnitt";"Alle yrker";"26-27 Data- og elektrisk utstyrsindustri";"Menn";"Heltidsansatte";53140;54730;55570;57000;58850;59730;62690;65290
"Gjennomsnitt";"Alle yrker";"26-27 Data- og elektrisk utstyrsindustri";"Kvinner";"Heltidsansatte";43210;44840;45570;47530;49230;50300;52590;55110
"Gjennomsnitt";"Alle yrker";"28 Maskinindustri";"Menn";"Heltidsansatte";51430;50960;52170;54440;56200;56020;57880;61210
"Gjennomsnitt";"Alle yrker";"28 Maskinindustri";"Kvinner";"Heltidsansatte";44640;46190;47660;50240;51830;52100;54420;57540
"Gjennomsnitt";"Alle yrker";"29-30 Annen verkstedindustri";"Menn";"Heltidsansatte";49070;48790;48880;49360;50520;51300;52760;55830
"Gjennomsnitt";"Alle yrker";"29-30 Annen verkstedindustri";"Kvinner";"Heltidsansatte";48510;49660;49130;50140;51630;53040;54350;57160
"Gjennomsnitt";"Alle yrker";"31-32 Møbelindustri og annen industri";"Menn";"Heltidsansatte";40780;41380;43090;43970;45390;46170;47370;51240
"Gjennomsnitt";"Alle yrker";"31-32 Møbelindustri og annen industri";"Kvinner";"Heltidsansatte";37140;37950;39590;41010;42720;43430;45350;48580
"Gjennomsnitt";"Alle yrker";"33 Maskinreparasjon og -installasjon";"Menn";"Heltidsansatte";47180;47220;47350;48520;49910;50600;52540;55110
"Gjennomsnitt";"Alle yrker";"33 Maskinreparasjon og -installasjon";"Kvinner";"Heltidsansatte";46070;46940;48160;49330;50770;51130;53240;55840
"Gjennomsnitt";"Alle yrker";"41 Oppføring av bygninger";"Menn";"Heltidsansatte";41530;41860;42750;44190;45640;46770;48730;51160
"Gjennomsnitt";"Alle yrker";"41 Oppføring av bygninger";"Kvinner";"Heltidsansatte";46080;47350;48830;51200;52500;54210;56260;59550
"Gjennomsnitt";"Alle yrker";"42 Anleggsvirksomhet";"Menn";"Heltidsansatte";45170;46650;47750;49270;51180;52620;54910;57310
"Gjennomsnitt";"Alle yrker";"42 Anleggsvirksomhet";"Kvinner";"Heltidsansatte";45100;47370;48830;51040;52960;53640;55910;58310
"Gjennomsnitt";"Alle yrker";"43 Spesialisert bygge- og anleggsvirksomhet";"Menn";"Heltidsansatte";39130;39940;40830;41980;43270;44350;45850;48120
"Gjennomsnitt";"Alle yrker";"43 Spesialisert bygge- og anleggsvirksomhet";"Kvinner";"Heltidsansatte";38250;39280;40540;41600;43250;44260;45550;47680
"Gjennomsnitt";"Alle yrker";"45 Handel med og reparasjon av motorvogner";"Menn";"Heltidsansatte";38570;39650;40500;41550;42930;44190;46290;48460
"Gjennomsnitt";"Alle yrker";"45 Handel med og reparasjon av motorvogner";"Kvinner";"Heltidsansatte";37120;38180;39450;40690;41760;42970;45120;46970
"Gjennomsnitt";"Alle yrker";"46 Agentur- og engroshandel, unntatt med motorvogner";"Menn";"Heltidsansatte";47530;48790;49940;51270;53210;55120;57560;60170
"Gjennomsnitt";"Alle yrker";"46 Agentur- og engroshandel, unntatt med motorvogner";"Kvinner";"Heltidsansatte";43090;44000;45260;46850;48420;50160;52570;55170
"Gjennomsnitt";"Alle yrker";"47 Detaljhandel, unntatt med motorvogner";"Menn";"Heltidsansatte";39010;38650;39490;40810;42100;43780;46550;48260
"Gjennomsnitt";"Alle yrker";"47 Detaljhandel, unntatt med motorvogner";"Kvinner";"Heltidsansatte";34750;33730;34540;35840;37030;38660;41010;43100
"Gjennomsnitt";"Alle yrker";"49.1_49.3 Landtransport med passasjerer";"Menn";"Heltidsansatte";37160;38510;38900;39660;40840;41870;44100;46090
"Gjennomsnitt";"Alle yrker";"49.1_49.3 Landtransport med passasjerer";"Kvinner";"Heltidsansatte";39800;40910;42220;43790;44660;46460;48300;50790
"Gjennomsnitt";"Alle yrker";"49.2_49.4 Landtransport med gods";"Menn";"Heltidsansatte";35000;36130;37050;38090;39120;39950;41060;43210
"Gjennomsnitt";"Alle yrker";"49.2_49.4 Landtransport med gods";"Kvinner";"Heltidsansatte";34480;35550;36690;37730;38720;39090;40500;42530
"Gjennomsnitt";"Alle yrker";"50.1 Sjøfart og kysttrafikk med passasjerer";"Menn";"Heltidsansatte";43990;46270;47530;48410;51580;52090;53290;55990
"Gjennomsnitt";"Alle yrker";"50.1 Sjøfart og kysttrafikk med passasjerer";"Kvinner";"Heltidsansatte";36470;38280;39170;40540;42500;43560;44640;47130
"Gjennomsnitt";"Alle yrker";"50.2 Sjøfart og kysttrafikk med gods";"Menn";"Heltidsansatte";62720;63500;64800;66560;69230;69370;69930;73430
"Gjennomsnitt";"Alle yrker";"50.2 Sjøfart og kysttrafikk med gods";"Kvinner";"Heltidsansatte";51840;53770;54860;57780;62330;61550;60740;68360
"Gjennomsnitt";"Alle yrker";"51 Lufttransport";"Menn";"Heltidsansatte";71540;69840;72190;74430;77270;78470;81080;80910
"Gjennomsnitt";"Alle yrker";"51 Lufttransport";"Kvinner";"Heltidsansatte";37820;37940;39430;41300;43780;47690;44230;46540
"Gjennomsnitt";"Alle yrker";"52 Transporttjenester og lagring";"Menn";"Heltidsansatte";48700;50400;50420;52150;53490;55290;57150;60250
"Gjennomsnitt";"Alle yrker";"52 Transporttjenester og lagring";"Kvinner";"Heltidsansatte";42470;43690;44230;45890;47300;48610;51480;53050
"Gjennomsnitt";"Alle yrker";"53 Post og distribusjonsvirksomhet";"Menn";"Heltidsansatte";38080;37940;38560;39520;40580;42410;43790;45790
"Gjennomsnitt";"Alle yrker";"53 Post og distribusjonsvirksomhet";"Kvinner";"Heltidsansatte";38370;38250;38930;40180;41190;43790;45270;48150
"Gjennomsnitt";"Alle yrker";"55 Overnattingsvirksomhet";"Menn";"Heltidsansatte";32980;34220;34920;35910;36850;38640;38670;41120
"Gjennomsnitt";"Alle yrker";"55 Overnattingsvirksomhet";"Kvinner";"Heltidsansatte";30330;30900;31820;33060;34220;35410;35540;37950
"Gjennomsnitt";"Alle yrker";"56.1_56.3 Restaurantvirksomhet og drift av barer";"Menn";"Heltidsansatte";30640;29700;30340;31360;32630;33190;35380;37370
"Gjennomsnitt";"Alle yrker";"56.1_56.3 Restaurantvirksomhet og drift av barer";"Kvinner";"Heltidsansatte";29100;26720;27420;28850;30100;30690;32060;34530
"Gjennomsnitt";"Alle yrker";"56.2 Cateringvirksomhet og kantiner drevet som selvstendig virksomhet";"Menn";"Heltidsansatte";38740;38640;38280;39820;41260;43030;43790;44210
"Gjennomsnitt";"Alle yrker";"56.2 Cateringvirksomhet og kantiner drevet som selvstendig virksomhet";"Kvinner";"Heltidsansatte";34330;33850;34020;35770;36930;38410;39700;40330
"Gjennomsnitt";"Alle yrker";"58 Forlagsvirksomhet";"Menn";"Heltidsansatte";57430;59700;60830;62320;65050;66570;69390;72230
"Gjennomsnitt";"Alle yrker";"58 Forlagsvirksomhet";"Kvinner";"Heltidsansatte";48640;50250;51760;53490;56000;57760;60110;62680
"Gjennomsnitt";"Alle yrker";"59 Film- og TV-produksjon, musikkutgivelse";"Menn";"Heltidsansatte";45100;47620;48360;49680;50740;53240;53900;56400
"Gjennomsnitt";"Alle yrker";"59 Film- og TV-produksjon, musikkutgivelse";"Kvinner";"Heltidsansatte";42320;44420;44640;46130;48010;50860;51230;52890
"Gjennomsnitt";"Alle yrker";"60 Radio- og fjernsynskringkasting";"Menn";"Heltidsansatte";50940;52750;53860;56660;58670;60120;61860;64610
"Gjennomsnitt";"Alle yrker";"60 Radio- og fjernsynskringkasting";"Kvinner";"Heltidsansatte";46340;47780;49600;52420;54260;56390;57920;60890
"Gjennomsnitt";"Alle yrker";"61 Telekommunikasjon";"Menn";"Heltidsansatte";60110;60820;61710;66400;66780;65820;66930;71350
"Gjennomsnitt";"Alle yrker";"61 Telekommunikasjon";"Kvinner";"Heltidsansatte";51750;52930;54980;59380;60760;60530;61980;65500
"Gjennomsnitt";"Alle yrker";"62 IT-tjenester";"Menn";"Heltidsansatte";59460;61160;62600;64390;66360;68040;71010;74250
"Gjennomsnitt";"Alle yrker";"62 IT-tjenester";"Kvinner";"Heltidsansatte";52620;54390;55640;57380;58870;60500;63410;66210
"Gjennomsnitt";"Alle yrker";"63 Informasjonstjenester";"Menn";"Heltidsansatte";55990;56480;57790;59410;61190;64130;71160;71830
"Gjennomsnitt";"Alle yrker";"63 Informasjonstjenester";"Kvinner";"Heltidsansatte";47580;47980;50440;52020;52780;55600;61520;64920
"Gjennomsnitt";"Alle yrker";"64.1_65.1-65.3 Bank- og forsikringsvirksomhet";"Menn";"Heltidsansatte";66020;66940;69500;71990;75050;76550;78770;82570
"Gjennomsnitt";"Alle yrker";"64.1_65.1-65.3 Bank- og forsikringsvirksomhet";"Kvinner";"Heltidsansatte";48400;49810;51730;53770;57200;59100;61320;65020
"Gjennomsnitt";"Alle yrker";"64.2-64.9_66.1-66.3 Annen finansiell tjenesteyting";"Menn";"Heltidsansatte";83040;86030;86530;88620;89570;90130;97390;102700
"Gjennomsnitt";"Alle yrker";"64.2-64.9_66.1-66.3 Annen finansiell tjenesteyting";"Kvinner";"Heltidsansatte";53970;57210;56900;58860;60960;62580;66380;70690
"Gjennomsnitt";"Alle yrker";"68.2 Utleie av egen eller leid fast eiendom";"Menn";"Heltidsansatte";50650;52400;53950;55910;58010;60400;64890;67020
"Gjennomsnitt";"Alle yrker";"68.2 Utleie av egen eller leid fast eiendom";"Kvinner";"Heltidsansatte";42600;44060;45180;46800;49290;50630;55260;58180
"Gjennomsnitt";"Alle yrker";"68.31 Eiendomsmegling";"Menn";"Heltidsansatte";68420;75890;72460;75830;77050;81580;85420;85480
"Gjennomsnitt";"Alle yrker";"68.31 Eiendomsmegling";"Kvinner";"Heltidsansatte";50960;54820;55380;58210;60200;65000;65290;67110
"Gjennomsnitt";"Alle yrker";"69 Juridisk og regnskapsmessig tjenesteyting";"Menn";"Heltidsansatte";56450;57940;58930;60580;62230;63780;67570;70220
"Gjennomsnitt";"Alle yrker";"69 Juridisk og regnskapsmessig tjenesteyting";"Kvinner";"Heltidsansatte";44900;46300;47640;49320;51160;52810;56110;59080
"Gjennomsnitt";"Alle yrker";"70 Hovedkontortjenester, administrativ rådgivning";"Menn";"Heltidsansatte";66360;67480;67960;71650;72770;74540;79110;84730
"Gjennomsnitt";"Alle yrker";"70 Hovedkontortjenester, administrativ rådgivning";"Kvinner";"Heltidsansatte";50280;50780;52070;54280;56900;59000;61400;64990
"Gjennomsnitt";"Alle yrker";"71 Arkitekter og tekniske konsulenter";"Menn";"Heltidsansatte";60070;60690;61840;62650;65110;66000;70810;72130
"Gjennomsnitt";"Alle yrker";"71 Arkitekter og tekniske konsulenter";"Kvinner";"Heltidsansatte";50670;52390;53520;55230;57200;58460;61970;64470
"Gjennomsnitt";"Alle yrker";"72 Forskning og utviklingsarbeid";"Menn";"Heltidsansatte";59260;60900;62240;63250;65460;66090;69070;72400
"Gjennomsnitt";"Alle yrker";"72 Forskning og utviklingsarbeid";"Kvinner";"Heltidsansatte";49460;51540;53260;54980;57020;57880;60300;63310
"Gjennomsnitt";"Alle yrker";"73 Reklamevirksomhet og markedsundersøkelser";"Menn";"Heltidsansatte";49720;51180;52900;54230;55680;58110;60570;63410
"Gjennomsnitt";"Alle yrker";"73 Reklamevirksomhet og markedsundersøkelser";"Kvinner";"Heltidsansatte";43660;43770;44940;45620;47700;50360;52550;55460
"Gjennomsnitt";"Alle yrker";"77 Utleie- og leasingvirksomhet";"Menn";"Heltidsansatte";46400;46690;47360;48090;50200;52020;53980;55500
"Gjennomsnitt";"Alle yrker";"77 Utleie- og leasingvirksomhet";"Kvinner";"Heltidsansatte";43770;43480;45220;45970;47080;49880;54240;54000
"Gjennomsnitt";"Alle yrker";"78 Arbeidskrafttjenester";"Menn";"Heltidsansatte";37800;36910;37380;39140;40970;41930;44210;46770
"Gjennomsnitt";"Alle yrker";"78 Arbeidskrafttjenester";"Kvinner";"Heltidsansatte";36260;36290;36260;37440;40380;40870;43360;45640
"Gjennomsnitt";"Alle yrker";"79 Reisebyråer og reisearrangører";"Menn";"Heltidsansatte";44150;44850;46350;48000;47710;48600;50650;53030
"Gjennomsnitt";"Alle yrker";"79 Reisebyråer og reisearrangører";"Kvinner";"Heltidsansatte";37860;38620;39270;40810;41380;41610;43510;45830
"Gjennomsnitt";"Alle yrker";"80 Vakttjeneste og etterforsking";"Menn";"Heltidsansatte";36980;38220;39460;40550;40470;42770;43360;44660
"Gjennomsnitt";"Alle yrker";"80 Vakttjeneste og etterforsking";"Kvinner";"Heltidsansatte";33580;34600;36070;37270;37420;38560;39940;40570
"Gjennomsnitt";"Alle yrker";"81 Tjenester tilknyttet eiendomsdrift";"Menn";"Heltidsansatte";36590;37870;38680;39590;40960;41730;43550;45440
"Gjennomsnitt";"Alle yrker";"81 Tjenester tilknyttet eiendomsdrift";"Kvinner";"Heltidsansatte";33030;34360;35130;35820;36990;37230;39180;40740
"Gjennomsnitt";"Alle yrker";"81.2 Rengjøringsvirksomhet";"Menn";"Heltidsansatte";35230;36480;37020;37820;39250;40230;42110;43650
"Gjennomsnitt";"Alle yrker";"81.2 Rengjøringsvirksomhet";"Kvinner";"Heltidsansatte";31280;32330;32830;33460;34670;34990;36890;38410
"Gjennomsnitt";"Alle yrker";"82 Forretningsmessig tjenesteyting ellers";"Menn";"Heltidsansatte";51710;50930;51510;52130;53670;56710;58790;61360
"Gjennomsnitt";"Alle yrker";"82 Forretningsmessig tjenesteyting ellers";"Kvinner";"Heltidsansatte";41280;41870;43150;44400;45380;46560;48670;51160
"Gjennomsnitt";"Alle yrker";"84.11 Generell offentlig administrasjon";"Menn";"Heltidsansatte";48510;50280;51020;52630;54470;54490;56550;59140
"Gjennomsnitt";"Alle yrker";"84.11 Generell offentlig administrasjon";"Kvinner";"Heltidsansatte";41850;43740;45000;46520;48330;49110;51380;54110
"Gjennomsnitt";"Alle yrker";"84.12 Offentlig adm. tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";"Menn";"Heltidsansatte";50800;52740;53860;55660;57880;58500;60520;63180
"Gjennomsnitt";"Alle yrker";"84.12 Offentlig adm. tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern";"Kvinner";"Heltidsansatte";45830;47850;49120;50920;53100;53490;55490;58100
"Gjennomsnitt";"Alle yrker";"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked";"Menn";"Heltidsansatte";48450;50290;51850;53250;54950;55500;58720;60420
"Gjennomsnitt";"Alle yrker";"84.13 Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked";"Kvinner";"Heltidsansatte";45330;47350;48820;50420;52180;52780;55710;57590
"Gjennomsnitt";"Alle yrker";"84.21 Utenrikssaker";"Menn";"Heltidsansatte";:;:;:;:;:;:;:;:
"Gjennomsnitt";"Alle yrker";"84.21 Utenrikssaker";"Kvinner";"Heltidsansatte";:;:;:;:;:;:;:;:
"Gjennomsnitt";"Alle yrker";"84.22 Forsvar";"Menn";"Heltidsansatte";50380;51500;53540;55100;57570;58560;60700;64540
"Gjennomsnitt";"Alle yrker";"84.22 Forsvar";"Kvinner";"Heltidsansatte";42320;44060;45760;47880;49980;50710;52630;56160
"Gjennomsnitt";"Alle yrker";"84.23 Retts- og fengselsvesen";"Menn";"Heltidsansatte";:;:;:;:;:;:;54330;56780
"Gjennomsnitt";"Alle yrker";"84.23 Retts- og fengselsvesen";"Kvinner";"Heltidsansatte";:;:;:;:;:;:;50520;53420
"Gjennomsnitt";"Alle yrker";"84.24 Politi- og påtalemyndighet";"Menn";"Heltidsansatte";48150;49290;50600;52410;54460;55240;56660;59290
"Gjennomsnitt";"Alle yrker";"84.24 Politi- og påtalemyndighet";"Kvinner";"Heltidsansatte";41880;43520;44920;46580;48590;49790;51290;53750
"Gjennomsnitt";"Alle yrker";"84.25 Brannvern";"Menn";"Heltidsansatte";44640;45640;47220;48540;49770;50300;52450;54060
"Gjennomsnitt";"Alle yrker";"84.25 Brannvern";"Kvinner";"Heltidsansatte";43440;44800;46500;47400;46780;47490;49810;51650
"Gjennomsnitt";"Alle yrker";"84.30 Trygdeordninger underlagt offentlig forvaltning";"Menn";"Heltidsansatte";41080;42100;42890;44080;45590;46160;47880;49860
"Gjennomsnitt";"Alle yrker";"84.30 Trygdeordninger underlagt offentlig forvaltning";"Kvinner";"Heltidsansatte";38220;39390;40530;41700;43180;43790;45620;47660
"Gjennomsnitt";"Alle yrker";"85.1-85.2 Førskole- og grunnskoleundervisning";"Menn";"Heltidsansatte";42880;43940;45130;45820;47270;47410;49550;50100
"Gjennomsnitt";"Alle yrker";"85.1-85.2 Førskole- og grunnskoleundervisning";"Kvinner";"Heltidsansatte";41460;42690;43850;44580;46080;46440;48680;49120
"Gjennomsnitt";"Alle yrker";"85.3 Undervisning på videregående skoles nivå";"Menn";"Heltidsansatte";44680;46020;47420;48090;49700;49740;52060;52830
"Gjennomsnitt";"Alle yrker";"85.3 Undervisning på videregående skoles nivå";"Kvinner";"Heltidsansatte";43450;44950;46410;47250;48870;48900;51270;51990
"Gjennomsnitt";"Alle yrker";"85.4 Undervisning i høyere utdanning";"Menn";"Heltidsansatte";47900;48530;49660;50940;52940;53770;55270;57270
"Gjennomsnitt";"Alle yrker";"85.4 Undervisning i høyere utdanning";"Kvinner";"Heltidsansatte";43700;44720;45930;47230;49060;49920;51490;53720
"Gjennomsnitt";"Alle yrker";"85.5-85.6 Annen undervisning og tjenester tilknyttet undervisning";"Menn";"Heltidsansatte";43450;44780;45860;46950;47960;48440;50880;52740
"Gjennomsnitt";"Alle yrker";"85.5-85.6 Annen undervisning og tjenester tilknyttet undervisning";"Kvinner";"Heltidsansatte";41190;42360;43560;44610;45650;45890;48080;49820
"Gjennomsnitt";"Alle yrker";"86 Helsetjenester";"Menn";"Heltidsansatte";53750;55480;57020;58650;60100;60600;63280;65750
"Gjennomsnitt";"Alle yrker";"86 Helsetjenester";"Kvinner";"Heltidsansatte";42500;44050;45300;47000;48370;48940;51480;53580
"Gjennomsnitt";"Alle yrker";"86.1 Sykehustjenester";"Menn";"Heltidsansatte";55950;57540;59100;60910;62360;62730;65600;68310
"Gjennomsnitt";"Alle yrker";"86.1 Sykehustjenester";"Kvinner";"Heltidsansatte";43720;45530;46770;48850;50070;50680;53500;55940
"Gjennomsnitt";"Alle yrker";"87 Pleie og omsorg i institusjon";"Menn";"Heltidsansatte";38990;40340;41490;42330;43790;43960;45590;46910
"Gjennomsnitt";"Alle yrker";"87 Pleie og omsorg i institusjon";"Kvinner";"Heltidsansatte";38650;39740;41020;41970;43720;44020;45930;47320
"Gjennomsnitt";"Alle yrker";"88.1 Sosialtjenester uten botilbud for eldre og funksjonshemmede";"Menn";"Heltidsansatte";37400;38530;39610;40400;41970;42230;44150;45610
"Gjennomsnitt";"Alle yrker";"88.1 Sosialtjenester uten botilbud for eldre og funksjonshemmede";"Kvinner";"Heltidsansatte";37290;38340;39520;40480;42050;42340;44390;45270
"Gjennomsnitt";"Alle yrker";"88.911 Barnehager";"Menn";"Heltidsansatte";32110;32510;33520;34790;36380;36600;38760;39070
"Gjennomsnitt";"Alle yrker";"88.911 Barnehager";"Kvinner";"Heltidsansatte";33650;34390;35380;36410;37950;38150;40000;40260
"Gjennomsnitt";"Alle yrker";"88.99 Andre sosialtjenester uten botilbud ikke nevnt annet sted";"Menn";"Heltidsansatte";38070;39490;40960;42580;44020;44640;46380;47890
"Gjennomsnitt";"Alle yrker";"88.99 Andre sosialtjenester uten botilbud ikke nevnt annet sted";"Kvinner";"Heltidsansatte";38160;39650;40980;42140;43870;44450;46420;48130
"Gjennomsnitt";"Alle yrker";"88.993-88.994 Arbeidstreningsvirksomheter";"Menn";"Heltidsansatte";35590;37000;38010;39890;41150;42000;43290;44640
"Gjennomsnitt";"Alle yrker";"88.993-88.994 Arbeidstreningsvirksomheter";"Kvinner";"Heltidsansatte";36060;37680;38640;39920;41300;42120;43630;45140
"Gjennomsnitt";"Alle yrker";"90 Kunstnerisk virksomhet og underholdning";"Menn";"Heltidsansatte";41540;43640;44790;46300;47950;49130;52130;53920
"Gjennomsnitt";"Alle yrker";"90 Kunstnerisk virksomhet og underholdning";"Kvinner";"Heltidsansatte";40200;41410;42550;44100;45470;46630;49200;50630
"Gjennomsnitt";"Alle yrker";"91 Bibliotek, muséer o.a. kulturvirksomhet";"Menn";"Heltidsansatte";40610;41640;42470;44130;45760;46160;47780;49760
"Gjennomsnitt";"Alle yrker";"91 Bibliotek, muséer o.a. kulturvirksomhet";"Kvinner";"Heltidsansatte";39380;40020;41070;42680;44150;44820;46580;48490
"Gjennomsnitt";"Alle yrker";"93 Sports- og fritidsaktiviteter";"Menn";"Heltidsansatte";40870;40020;40660;42580;43430;44620;45990;50250
"Gjennomsnitt";"Alle yrker";"93 Sports- og fritidsaktiviteter";"Kvinner";"Heltidsansatte";35560;32970;33880;35280;35860;37030;38070;41700
"Gjennomsnitt";"Alle yrker";"94.1 Næringslivs- og arbeidsgiverorganisasjoner og yrkessammenslutninger";"Menn";"Heltidsansatte";66320;67500;69390;70230;73520;75100;77090;79890
"Gjennomsnitt";"Alle yrker";"94.1 Næringslivs- og arbeidsgiverorganisasjoner og yrkessammenslutninger";"Kvinner";"Heltidsansatte";51370;52590;54010;56260;62030;64320;66550;69240
"Gjennomsnitt";"Alle yrker";"94.2 Arbeidstakerorganisasjoner";"Menn";"Heltidsansatte";56020;57710;59310;60740;62860;63590;65380;68140
"Gjennomsnitt";"Alle yrker";"94.2 Arbeidstakerorganisasjoner";"Kvinner";"Heltidsansatte";49210;51140;52500;54310;56160;57510;58770;61520
"Gjennomsnitt";"Alle yrker";"94.9 Aktiviteter i andre medlemsorganisasjoner";"Menn";"Heltidsansatte";43960;45610;46510;47650;49440;50540;52180;53310
"Gjennomsnitt";"Alle yrker";"94.9 Aktiviteter i andre medlemsorganisasjoner";"Kvinner";"Heltidsansatte";40750;42230;43330;44460;46320;47300;49370;50820
"Gjennomsnitt";"Alle yrker";"95 Reparasjon av varer til personlig bruk";"Menn";"Heltidsansatte";36770;37410;37780;38980;40090;41750;42600;43960
"Gjennomsnitt";"Alle yrker";"95 Reparasjon av varer til personlig bruk";"Kvinner";"Heltidsansatte";32980;33500;34710;35070;37180;37310;37680;40250
"Gjennomsnitt";"Alle yrker";"96 Annen personlig tjenesteyting";"Menn";"Heltidsansatte";35830;37110;37860;38790;40130;40460;42730;44030
"Gjennomsnitt";"Alle yrker";"96 Annen personlig tjenesteyting";"Kvinner";"Heltidsansatte";29590;30840;31260;32260;33020;34410;36350;38050
"Gjennomsnitt";"Alle yrker";"97 Lønnet arbeid i private husholdninger";"Menn";"Heltidsansatte";.;37650;38120;39820;40040;44860;:;:
"Gjennomsnitt";"Alle yrker";"97 Lønnet arbeid i private husholdninger";"Kvinner";"Heltidsansatte";.;:;:;:;:;:;:;:
"Gjennomsnitt";"Alle yrker";"99 Internasjonale organer";"Menn";"Heltidsansatte";.;35110;:;:;39010;40490;38750;42000
